sku,name,old_url,old_slug,http_status,observed_canonical,canonical_status,existing_redirect_status,migration_status,new_slug,new_url,collision_status
РТ-00001488,"Ароматизатор меловый SPIRIT REFILL-RELAX SHAMPOO",https://autohimiki.kz/product/onec-8ec14419-29ab-4387-beb2-9e32c94d38da,onec-8ec14419-29ab-4387-beb2-9e32c94d38da,200,https://autohimiki.kz/product/onec-8ec14419-29ab-4387-beb2-9e32c94d38da,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",aromatizator-melovyi-spirit-refill-relax-shampoo,https://autohimiki.kz/product/aromatizator-melovyi-spirit-refill-relax-shampoo,"public_set:none; drafts/history_UNKNOWN"
РТ-00001492,"LAVR Bi Bi Care Омыватель стекол Вишня концентрат 1;150, 250 мл (20 шт) ВB4055",https://autohimiki.kz/product/onec-6f61a1c0-473e-48c5-8dc5-835b0cd077d0,onec-6f61a1c0-473e-48c5-8dc5-835b0cd077d0,200,https://autohimiki.kz/product/onec-6f61a1c0-473e-48c5-8dc5-835b0cd077d0,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",lavr-bi-bi-care-omyvatel-stekol-visnia-koncentrat-1150-250-ml-20-st-vb4055,https://autohimiki.kz/product/lavr-bi-bi-care-omyvatel-stekol-visnia-koncentrat-1150-250-ml-20-st-vb4055,"public_set:none; drafts/history_UNKNOWN"
РТ-00001500,"Shine Systems AirLine TirePolish -чернение внешнего пластика и резины,400 мл",https://autohimiki.kz/product/onec-a3444a93-0868-4688-aff5-566b764d52b5,onec-a3444a93-0868-4688-aff5-566b764d52b5,200,https://autohimiki.kz/product/onec-a3444a93-0868-4688-aff5-566b764d52b5,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",shine-systems-airline-tirepolish-cernenie-vnesnego-plastika-i-reziny400-ml,https://autohimiki.kz/product/shine-systems-airline-tirepolish-cernenie-vnesnego-plastika-i-reziny400-ml,"public_set:none; drafts/history_UNKNOWN"
РТ-00001501,"Shine Systems Black Line TireEssence Gel-гелевое чернение шин, 400 мл",https://autohimiki.kz/product/onec-fbfea1af-8bc2-4fa0-ad14-cec5d5148b43,onec-fbfea1af-8bc2-4fa0-ad14-cec5d5148b43,200,https://autohimiki.kz/product/onec-fbfea1af-8bc2-4fa0-ad14-cec5d5148b43,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",shine-systems-black-line-tireessence-gel-gelevoe-cernenie-sin-400-ml,https://autohimiki.kz/product/shine-systems-black-line-tireessence-gel-gelevoe-cernenie-sin-400-ml,"public_set:none; drafts/history_UNKNOWN"
РТ-00001503,"TURTLE WAX SPEED HEADLIGHT LENSRESTORER ПОЛИРОЛЬ ДЛЯ ФАР",https://autohimiki.kz/product/onec-ad85bf83-049c-4488-9bc7-e86e69a50624,onec-ad85bf83-049c-4488-9bc7-e86e69a50624,200,https://autohimiki.kz/product/onec-ad85bf83-049c-4488-9bc7-e86e69a50624,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",turtle-wax-speed-headlight-lensrestorer-polirol-dlia-far,https://autohimiki.kz/product/turtle-wax-speed-headlight-lensrestorer-polirol-dlia-far,"public_set:none; drafts/history_UNKNOWN"
РТ-00001506,"MITSUJI Щётка для чернения шин",https://autohimiki.kz/product/onec-aa839307-d57e-4f60-8bf4-789577afcf15,onec-aa839307-d57e-4f60-8bf4-789577afcf15,200,https://autohimiki.kz/product/onec-aa839307-d57e-4f60-8bf4-789577afcf15,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",mitsuji-shhetka-dlia-cerneniia-sin,https://autohimiki.kz/product/mitsuji-shhetka-dlia-cerneniia-sin,"public_set:none; drafts/history_UNKNOWN"
РТ-00001507,"MITSUJI Полотенце одностороннее для сушки 60x60cм",https://autohimiki.kz/product/onec-ff0720d5-cf7b-485c-9998-768073c731a8,onec-ff0720d5-cf7b-485c-9998-768073c731a8,200,https://autohimiki.kz/product/onec-ff0720d5-cf7b-485c-9998-768073c731a8,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",mitsuji-polotence-odnostoronnee-dlia-suski-60x60cm,https://autohimiki.kz/product/mitsuji-polotence-odnostoronnee-dlia-suski-60x60cm,"public_set:none; drafts/history_UNKNOWN"
РТ-00001508,"MITSUJI Полотенце 2в1 двустороннее для сушки 40х60см",https://autohimiki.kz/product/onec-e2b003a3-d2b7-4edf-8a01-7ad8605ddca7,onec-e2b003a3-d2b7-4edf-8a01-7ad8605ddca7,200,https://autohimiki.kz/product/onec-e2b003a3-d2b7-4edf-8a01-7ad8605ddca7,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",mitsuji-polotence-2v1-dvustoronnee-dlia-suski-40x60sm,https://autohimiki.kz/product/mitsuji-polotence-2v1-dvustoronnee-dlia-suski-40x60sm,"public_set:none; drafts/history_UNKNOWN"
РТ-00001510,"MITSUJ Салфетка из микрофибры для стёкол40*40",https://autohimiki.kz/product/onec-09a276ed-ca15-4509-a6fa-c2867251680c,onec-09a276ed-ca15-4509-a6fa-c2867251680c,200,https://autohimiki.kz/product/onec-09a276ed-ca15-4509-a6fa-c2867251680c,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",mitsuj-salfetka-iz-mikrofibry-dlia-stekol4040,https://autohimiki.kz/product/mitsuj-salfetka-iz-mikrofibry-dlia-stekol4040,"public_set:none; drafts/history_UNKNOWN"
РТ-00001511,"MITSUJI Кисть для очистки салона",https://autohimiki.kz/product/onec-12f95d93-c940-47f0-b5d8-f876b7b393dc,onec-12f95d93-c940-47f0-b5d8-f876b7b393dc,200,https://autohimiki.kz/product/onec-12f95d93-c940-47f0-b5d8-f876b7b393dc,"public_self_canonical; stored_value_unknown","old_URL_200_no_redirect; history_DB_unknown","PROPOSED_ONLY; requires_authoritative_DB_dry_run",mitsuji-kist-dlia-ocistki-salona,https://autohimiki.kz/product/mitsuji-kist-dlia-ocistki-salona,"public_set:none; drafts/history_UNKNOWN"
